,PC1,PC2,CLUSTERS
7117,-19.771609602882428,2.5524778413916835,A
43677,-20.775775684324866,2.1499322456696244,A
40239,25.306325307547002,0.5452059894406671,D
77339,37.40455522275839,-1.0165993590017333,C
28692,-18.699514380485514,-0.32228100078917377,E
97996,7.3790458443180205,-0.7703214463632764,B
39821,-20.706011212432553,-0.8905577082728877,E
18786,-18.605108289319904,-5.580359401822784,E
83724,10.374600573936416,-1.1282175952866262,D
79849,2.4675284462303377,-0.594567218911922,B
33985,-9.686458059525815,-0.7293160437579733,B
47148,-20.712307692668826,-0.6885719190067267,E
25723,-20.779534538451188,2.469880058434143,A
4968,-20.728613288519618,-0.44960490266800707,E
39756,-19.760900990116024,2.0094161943074678,A
88929,24.382860015026164,-0.377056005680671,D
48238,-20.702580419266056,-1.2414282435596995,E
74336,-6.634077322707753,-1.508388527858775,B
66901,-9.631375785727286,-1.9673470847057757,B
91694,1.3728932329384465,-1.4310833554566027,B
86333,15.371891023083206,-0.6202627837834379,D
23336,-20.69663575140861,-1.0253732840889014,E
57307,27.436039632434255,-1.668972664858184,D
34825,-20.758413680113662,1.9151103597845445,A
67890,122.3670251073994,2.202966295285114,C
90295,26.431715605030746,-2.116703937078679,D
89153,33.45689680971706,-0.1867872963018636,D
96631,-5.637610248794369,-1.8849652356150142,B
17761,-13.691820356059813,-0.9288555072801509,E
44947,-20.74478407272674,0.6161623977738229,E
43614,-15.69306075227804,-1.0513225496139549,E
30594,-13.685516165015937,-1.2254240228085345,E
70913,-7.640539794165681,-1.144902531015892,B
38328,-18.75620920554089,1.7561925766562814,A
2922,-20.715309133664082,-0.8906398984454054,E
32890,-20.759812365174955,1.9049266375691984,A
53487,12.408690897052969,-2.019206554594177,D
22709,-20.772435718340308,2.5767072694253628,A
1819,-19.738025818705143,0.2471553860127518,E
64091,21.368236291322177,-0.6503841300126444,D
71977,18.39572182719367,-0.4043982641077744,D
96664,21.379202389085645,-0.5581224965025217,D
65095,26.442355866554085,-0.3071415407431996,D
6914,-8.717159766839318,1.0098976266273418,B
41569,-20.769144639684384,1.980533231180221,A
67239,48.364897124498185,0.0789933913944163,C
88526,94.38995451523584,1.6935691287042791,C
7961,-18.73281658455775,1.193754057336047,E
18694,-20.70338449619176,-0.7145170861913688,E
28939,-20.75120690993875,1.7243287337723334,A
50555,16.386399398260124,-0.8883375993635001,D
24669,-2.6968555732901476,-0.07395202679024122,B
51699,0.3731846234622112,-1.6360801732646617,B
68566,12.3802761760234,-0.9407344679253774,D
46724,-20.718317232089188,-0.11789096526805233,E
49144,-20.668846923369355,-3.200731319387375,E
11502,-16.709737679825196,1.2307407995211483,E
37308,-19.782734112442913,2.9064692552622824,A
85736,24.370737162812624,-0.27471955465097186,D
20325,-20.6893712615858,-1.180297606927607,E
45643,-20.725846328308247,0.19187441024195945,E
16128,-20.76422129882173,2.3928316441711224,A
14873,-19.67902720300806,-1.3181669490800805,E
5641,-19.779545632681135,2.2815221976242688,A
41357,-10.67869663611844,-1.462944204239271,B
87670,10.379756049996425,-0.8989379620553789,D
93135,57.351598846408784,0.530508361906516,C
40448,-20.745350650766994,0.9302354005792641,A
50353,12.42598754290041,-0.8310446116110277,D
94189,16.39689799461203,-0.6728077713640158,D
32070,-14.699676392342257,-0.6206810467296402,E
15793,-20.78479389448657,3.1436710352435897,A
49695,-9.62837002361256,-1.903118521582741,B
76085,2.3813033604670126,-1.4180714722987104,B
47545,-19.738605289655858,0.7678220943345242,E
91363,-2.630785311220396,-1.5236171902254743,B
68427,15.376690599380884,-0.6051439999730525,D
51179,87.37727683715089,1.150866945689872,C
90170,55.390876803050155,0.5171714471741653,C
41554,-20.80294299127747,3.1283641331351437,A
36683,-19.760516461073358,2.308567063949066,A
9855,11.33182020790713,-0.9707840443488553,D
71266,10.359538020699182,-0.6485857218560294,D
37493,-20.78848174094116,2.508845900171706,A
35675,-20.690126036650575,-1.367868247081833,E
54853,-11.612925176511421,-2.80698739926127,E
27745,-20.748802033908493,1.6499746154777815,A
11911,-15.698116212620725,-0.5882019205984147,E
88425,32.39225136591741,-0.14971563693332762,D
37330,-20.701061428305305,-1.0945017936715022,E
410,-17.727720706420577,0.5276937206709899,E
81271,-5.61066687366004,-1.1849262745563376,B
28260,-16.701645043097177,-0.16553811238614796,E
45047,-17.696821781916196,-1.0062272982746208,E
68529,3.386315422157609,-1.523156613045314,B
3656,-19.74975046937397,0.7828003805821799,E
94573,87.5382867956011,1.2948740314384992,C
39039,-19.74344688302959,1.0045151541747983,E
64678,31.48315141414082,-0.656987991495424,D
56974,2.3354356685566877,-0.0265145196879579,B
33480,-17.691682808591487,-1.0885416090363682,E
96701,30.37536577087787,0.33221585700794154,D
54486,14.320471888435145,-0.32071453267260874,D
52365,26.348684329026813,0.15204887432067277,D
11378,-20.703539190297082,-0.6093356570435488,E
55752,-9.59689190833912,-3.218659562528801,B
84366,6.418871080407479,-2.5718318608609096,B
25106,-19.778703706536223,2.2704675426820766,A
49196,-18.69842007941876,-1.2175826337660856,E
62302,25.510218010723683,-1.3674626128589482,D
79772,-9.639257467531781,-0.9220864634196669,B
8910,-19.694530500124298,-0.48431036081965373,E
98147,1.3516967133962559,-0.5617530499660562,B
74976,63.37823810023556,1.2782879604787725,C
66293,-1.6101758800577677,-0.7491382159289234,B
92661,3.374354386620257,-1.469741796704173,B
18824,-6.6920795305744685,-0.43688446864569186,B
93338,24.389323595606115,-0.7750519654904382,D
57125,22.38288336347761,-0.3398894026794821,D
58295,-10.62078046118025,-2.2690490362109594,B
26925,-18.71714417442114,0.08674156688353395,E
2656,-17.69964336482934,-1.1606777387307061,E
98831,59.38149512655678,0.5283500290319297,C
17547,-20.7057569798479,-0.1630238285517346,E
87141,20.39747749598577,-1.3434746281268684,D
23309,-20.787237634824347,2.78238776936156,A
40722,-20.692606335986817,-1.116320655829114,E
45618,-20.760471770118844,1.434393157776428,A
52721,59.41825985316386,-0.2030392680711606,C
13473,20.345773755108397,0.2633574409945523,D
57122,27.43433748652225,-0.21186879962271254,D
77879,-8.625242058218618,-2.274708257321123,B
13134,-20.77345257184255,2.62878917282785,A
1864,-17.676935997065495,-1.7976717080136575,E
4889,-20.779487274350778,2.12651444536156,A
85195,8.376559101695332,-0.8783554375096684,D
18564,-20.76191975906187,1.9511979945935116,A
67157,-3.6344822049267824,-0.840303186052583,B
67793,88.46293379465111,1.3225568411186717,C
69889,-7.635867538448306,-0.478390881841925,B
76729,22.382616616455316,-0.2893618115576439,D
77782,29.374300667881734,0.6623884780746052,D
52528,-1.6329278874940352,-1.0790245704170685,B
39587,-20.734885927072867,0.3282853058515996,E
37833,-20.803761645509848,3.434227774485343,A
74410,0.3742746885881182,-1.4273425244094295,B
44382,-17.746830616175572,0.7118388082156033,E
37243,-18.757530817359314,2.0478111420170624,A
81209,31.371357772914095,-0.9051560895546794,D
54775,68.38862944678165,0.04587092815939439,C
29475,-20.700899822609504,-0.9688108923473808,E
38404,-20.720052931366922,-0.20463663364800305,E
33400,-19.768066930713633,2.4733142726411006,A
71712,13.347865021855476,-0.573477032327794,D
79670,-3.6317754652912058,-1.140778378140012,B
19000,-20.75353320757826,1.624766584341369,A
92254,-3.6216882416149434,-1.2561104822404325,B
2177,-18.731048265615957,0.40360594113249476,E
20730,-20.748056550929185,1.4944016858831182,A
60918,53.38090432869465,0.7856247902306542,C
74932,8.362046725654128,-1.0200270378492284,D
21131,-20.72137197589797,0.3375905760724965,E
28812,-20.75120690993875,1.7243287337723334,A
15786,-20.776707437219937,2.8411631909947594,A
82155,7.366673075865253,-1.1192641874146474,B
85432,15.396358625810759,-1.085829585489528,D
41351,-16.755586608933182,1.4588856072349985,E
